county,year,death_cancellations,pop,deaths
Appling,2012,133,18388,169
Appling,2013,147,18375,200
Appling,2014,183,18476,218
Appling,2015,180,18423,221
Appling,2016,166,18424,197
Appling,2017,175,18438,214
Appling,2018,178,18507,224
Atkinson,2012,41,8254,79
Atkinson,2013,22,8266,77
Atkinson,2014,25,8218,55
Atkinson,2015,75,8344,77
Atkinson,2016,75,8252,77
Atkinson,2017,102,8215,82
Atkinson,2018,68,8297,74
Bacon,2012,88,11142,117
Bacon,2013,111,11168,126
Bacon,2014,99,11175,119
Bacon,2015,116,11242,135
Bacon,2016,116,11301,137
Bacon,2017,109,11236,145
Bacon,2018,105,11185,136
Baker,2012,30,3376,19
Baker,2013,37,3351,26
Baker,2014,41,3292,29
Baker,2015,38,3196,38
Baker,2016,52,3186,47
Baker,2017,42,3180,38
Baker,2018,24,3092,30
Baldwin,2012,262,46511,367
Baldwin,2013,255,46180,380
Baldwin,2014,314,45914,421
Baldwin,2015,329,45542,419
Baldwin,2016,328,45231,457
Baldwin,2017,396,44921,493
Baldwin,2018,383,44823,486
Banks,2012,110,18128,165
Banks,2013,53,18217,139
Banks,2014,100,18223,160
Banks,2015,127,18378,187
Banks,2016,103,18321,151
Banks,2017,131,18638,183
Banks,2018,140,18988,185
Barrow,2012,333,70130,479
Barrow,2013,306,71240,534
Barrow,2014,401,72853,542
Barrow,2015,428,74964,574
Barrow,2016,368,76965,559
Barrow,2017,492,78843,644
Barrow,2018,481,80809,655
Bartow,2012,502,100287,809
Bartow,2013,483,100971,852
Bartow,2014,502,101291,858
Bartow,2015,653,102079,819
Bartow,2016,582,103340,914
Bartow,2017,614,104981,859
Bartow,2018,709,106408,971
Ben Hill,2012,126,17580,193
Ben Hill,2013,90,17429,206
Ben Hill,2014,180,17430,204
Ben Hill,2015,156,17334,235
Ben Hill,2016,144,17216,211
Ben Hill,2017,184,17001,213
Ben Hill,2018,168,16787,233
Berrien,2012,106,19162,194
Berrien,2013,104,19059,187
Berrien,2014,132,18815,198
Berrien,2015,164,18975,211
Berrien,2016,155,18972,224
Berrien,2017,168,19113,210
Berrien,2018,184,19252,238
Bibb,2012,950,156610,1613
Bibb,2013,748,155036,1590
Bibb,2014,1235,154333,1598
Bibb,2015,1520,153948,1661
Bibb,2016,1221,153180,1613
Bibb,2017,1308,152892,1617
Bibb,2018,1363,153095,1690
Bleckley,2012,105,12888,126
Bleckley,2013,111,12740,139
Bleckley,2014,108,12703,132
Bleckley,2015,113,12705,154
Bleckley,2016,114,12856,143
Bleckley,2017,115,12775,154
Bleckley,2018,100,12838,130
Brantley,2012,112,18513,173
Brantley,2013,86,18241,187
Brantley,2014,160,18349,175
Brantley,2015,153,18416,184
Brantley,2016,136,18376,200
Brantley,2017,177,18767,211
Brantley,2018,152,18897,203
Brooks,2012,94,15618,184
Brooks,2013,134,15654,212
Brooks,2014,131,15533,216
Brooks,2015,163,15680,211
Brooks,2016,157,15738,214
Brooks,2017,168,15648,213
Brooks,2018,157,15513,217
Bryan,2012,142,32253,236
Bryan,2013,113,33035,228
Bryan,2014,153,33667,219
Bryan,2015,193,34792,253
Bryan,2016,177,35836,251
Bryan,2017,216,37019,273
Bryan,2018,194,38109,285
Bulloch,2012,285,73112,480
Bulloch,2013,252,71833,471
Bulloch,2014,382,72671,472
Bulloch,2015,502,73152,530
Bulloch,2016,420,74708,550
Bulloch,2017,480,76084,568
Bulloch,2018,386,77296,515
Burke,2012,150,23030,213
Burke,2013,155,22812,246
Burke,2014,181,22610,250
Burke,2015,216,22620,255
Burke,2016,199,22581,256
Burke,2017,208,22518,232
Burke,2018,181,22423,255
Butts,2012,143,23413,247
Butts,2013,153,23194,264
Butts,2014,218,23314,250
Butts,2015,189,23494,225
Butts,2016,194,23709,264
Butts,2017,192,24042,247
Butts,2018,224,24193,298
Calhoun,2012,70,6565,64
Calhoun,2013,60,6596,77
Calhoun,2014,79,6505,57
Calhoun,2015,59,6531,58
Calhoun,2016,53,6352,58
Calhoun,2017,59,6399,70
Calhoun,2018,50,6352,64
Camden,2012,223,51341,309
Camden,2013,183,51403,307
Camden,2014,270,51918,343
Camden,2015,234,52470,328
Camden,2016,281,52438,356
Camden,2017,276,53067,373
Camden,2018,272,53677,370
Candler,2012,86,11096,128
Candler,2013,66,10953,114
Candler,2014,100,10859,130
Candler,2015,98,10867,163
Candler,2016,99,10847,152
Candler,2017,96,10725,142
Candler,2018,84,10836,135
Carroll,2012,619,111413,907
Carroll,2013,376,112276,993
Carroll,2014,749,113942,1002
Carroll,2015,680,114467,1049
Carroll,2016,706,116123,1050
Carroll,2017,806,117458,1102
Carroll,2018,816,118121,1073
Catoosa,2012,283,64868,527
Catoosa,2013,308,65228,569
Catoosa,2014,384,65477,552
Catoosa,2015,501,65799,695
Catoosa,2016,327,66294,718
Catoosa,2017,467,66503,688
Catoosa,2018,376,67420,698
Charlton,2012,88,13350,110
Charlton,2013,119,13109,119
Charlton,2014,102,13052,108
Charlton,2015,105,13234,110
Charlton,2016,72,12838,85
Charlton,2017,81,12822,107
Charlton,2018,101,12968,144
Chatham,2012,1839,276134,2216
Chatham,2013,1621,277631,2249
Chatham,2014,1884,282197,2349
Chatham,2015,1821,285959,2330
Chatham,2016,1840,288633,2453
Chatham,2017,1992,289260,2380
Chatham,2018,1860,289195,2420
Chattahoochee,2012,23,12270,26
Chattahoochee,2013,19,12254,41
Chattahoochee,2014,21,11709,34
Chattahoochee,2015,35,11067,39
Chattahoochee,2016,28,10088,36
Chattahoochee,2017,34,10285,35
Chattahoochee,2018,30,10684,40
Chattooga,2012,184,25616,319
Chattooga,2013,153,25040,323
Chattooga,2014,256,24857,333
Chattooga,2015,220,24895,306
Chattooga,2016,214,24826,321
Chattooga,2017,226,24716,317
Chattooga,2018,264,24790,342
Cherokee,2012,760,220638,1231
Cherokee,2013,720,224336,1256
Cherokee,2014,983,230208,1330
Cherokee,2015,1121,235387,1504
Cherokee,2016,1008,241912,1513
Cherokee,2017,1186,247894,1600
Cherokee,2018,1206,254149,1674
Clarke,2012,501,119904,640
Clarke,2013,413,120905,703
Clarke,2014,559,120413,680
Clarke,2015,670,123552,730
Clarke,2016,562,124894,740
Clarke,2017,598,126820,734
Clarke,2018,710,127330,797
Clay,2012,38,3105,48
Clay,2013,34,3014,42
Clay,2014,47,3072,41
Clay,2015,25,3077,27
Clay,2016,47,3005,53
Clay,2017,36,2962,47
Clay,2018,37,2887,39
Clayton,2012,994,265283,1405
Clayton,2013,771,264033,1568
Clayton,2014,1107,266678,1585
Clayton,2015,1328,272868,1632
Clayton,2016,994,279636,1707
Clayton,2017,1515,284534,1851
Clayton,2018,1282,289615,1882
Clinch,2012,47,6695,67
Clinch,2013,44,6762,72
Clinch,2014,61,6785,71
Clinch,2015,61,6836,71
Clinch,2016,79,6761,91
Clinch,2017,70,6684,88
Clinch,2018,53,6648,70
Cobb,2012,2244,706399,3633
Cobb,2013,2149,716162,3864
Cobb,2014,3171,727757,3984
Cobb,2015,3194,739319,4124
Cobb,2016,3086,748563,4188
